Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,8/15/21 9:16,FALSE,Treadmill Running,2.89,443,0:42:30,138,161,2.1,163,170,14:44,13:53,--,--,0.67,0,0,--,--,0,0,0,0:00,78.8,0:00,No,12:50.1,3,0,14,14,14,0:00:00,0:42:47,--,--
Trail Running,8/14/21 9:26,FALSE,Omaha Trail Running,3.79,671,0:47:41,168,197,3.4,161,222,12:36,4:26,269,299,0.79,0,0,--,--,0,0,0,0:00,82.4,0:00,No,00:05.3,16,0,18,18,18,0:00:00,0:48:03,963,"1,097"
Treadmill Running,8/13/21 15:07,FALSE,6x5min T,5.91,813,1:06:07,162,186,3.7,169,256,11:11,8:30,--,--,0.85,10,8.4,280,51.8% L / 48.2% R,0,0,0,0:00,73.4,0:00,No,00:02.2,26,0,33,20,42,0:00:00,1:07:43,--,--
Trail Running,8/11/21 11:46,FALSE,Omaha Trail Running,2.87,596,0:40:39,169,184,3.4,164,238,14:09,8:27,233,254,0.7,11.9,8.2,299,51.7% L / 48.3% R,0,0,0,0:00,89.6,0:00,No,10:54.0,3,0,35,17,42,0:00:00,0:41:11,"1,033","1,129"
Treadmill Running,8/10/21 7:21,FALSE,Treadmill Running,4.22,657,0:45:41,168,189,3.7,172,191,10:49,8:35,--,--,0.86,9.6,8.2,277,51.5% L / 48.5% R,0,0,0,0:00,69.8,0:00,No,00:24.6,13,0,35,15,43,0:45:35,0:48:16,--,--
Treadmill Running,8/9/21 20:00,FALSE,Treadmill Running,3.09,480,0:42:07,143,170,2.4,164,195,13:37,8:16,--,--,0.72,11.5,8.3,297,52.0% L / 48.0% R,0,0,0,0:00,78.8,0:00,No,00:03.3,18,0,31,19,39,0:42:04,0:42:07,--,--
Treadmill Running,8/9/21 8:04,FALSE,Treadmill Running,3.45,514,0:50:09,136,158,2.1,157,174,14:32,13:04,--,--,0.71,0,0,--,--,0,0,0,0:00,73.4,0:00,No,03:06.1,5,0,--,--,--,0:50:07,0:50:18,--,--
Treadmill Running,8/8/21 9:23,FALSE,Treadmill Running,2.84,455,0:40:03,143,162,2.2,162,170,14:07,13:11,--,--,0.7,11.2,7.9,307,52.1% L / 47.9% R,0,0,0,0:00,73.4,0:00,No,11:30.0,3,0,32,22,39,0:39:58,0:40:39,--,--
Running,8/5/21 13:36,FALSE,Omaha Running,3.9,600,0:40:58,173,195,3.5,158,232,10:30,4:34,158,169,0.96,0,0,--,--,0,0,0,0:00,86,0:00,No,00:10.4,25,0,--,--,--,0:39:07,0:41:40,"1,077","1,145"
Running,8/4/21 9:52,FALSE,Omaha - Daniel 30 E 6 ST,4.68,758,0:49:40,175,198,3.8,164,221,10:36,5:17,260,272,0.93,10.2,9.4,277,51.9% L / 48.1% R,0,0,0,0:00,84.2,0:00,No,00:21.9,16,0,36,24,43,0:48:42,0:50:21,"1,014","1,205"
